name,category,category_id,venue_id,lat,long
"MacKenzie River Pizza, Grill & Pub",New American Restaurant,4bf58dd8d48988d157941735,5ec6c8e5f2870e0008cc547c,47.73362,-116.79364
Flaming Wok,Asian Restaurant,4bf58dd8d48988d142941735,4e41e4d6d1645b30b56568fd,47.730414,-116.7892
Teriyaki Grill,Asian Restaurant,4bf58dd8d48988d142941735,521d042211d2e666e5382b37,47.695040999999996,-116.80581000000001
Panda Express,Chinese Restaurant,4bf58dd8d48988d145941735,4c14265cb7b9c928b5ebaa37,47.70117644854277,-116.78049616261507
Noodle Express,Chinese Restaurant,4bf58dd8d48988d145941735,4bc3e06e920eb713f6261e2c,47.74707974658049,-116.79080690318915
Panda Express,Chinese Restaurant,4bf58dd8d48988d145941735,5bf347fb9fca56002c17006e,47.702874,-117.02865
Golden Dragon,Chinese Restaurant,4bf58dd8d48988d145941735,4c04641df423a593069dd116,47.7150435698284,-116.94885343205902
Chinatown,Chinese Restaurant,4bf58dd8d48988d145941735,4c1d7154b306c928a0a465b7,47.700472999999995,-116.79383999999999
Wah Hing,Chinese Restaurant,4bf58dd8d48988d145941735,4bdb8f5fc79cc928208883e9,47.81273941656551,-116.88666909359618
Pau Pau's Kitchen,Chinese Restaurant,4bf58dd8d48988d145941735,4d7c34116152b60ca3258e26,47.76089096069336,-116.78722381591797
China House,Chinese Restaurant,4bf58dd8d48988d145941735,59f4d33726659b3572bbe4c3,47.70047,-116.794011
Panda Express,Chinese Restaurant,4bf58dd8d48988d145941735,4c5b267204f9be9a7b94f360,47.73694,-116.793526
Little Kyoto,Sushi Restaurant,4bf58dd8d48988d1d2941735,59f15f363149b96c198c4527,47.7719841003418,-116.7858657836914
Fu-Ki,Sushi Restaurant,4bf58dd8d48988d1d2941735,5d5750959ccd2d00087698b9,47.752451,-116.786931
Momo Sushi Wok Grill,Japanese Restaurant,4bf58dd8d48988d111941735,5a625e8bd41bb71764ecb873,47.673259,-116.785365
Rokkos Teriyaki,Japanese Restaurant,4bf58dd8d48988d111941735,5c2a9a8fbe7078002c51b4d2,47.69443130493164,-116.80582427978516
Red Bowl Teriyaki,Japanese Restaurant,4bf58dd8d48988d111941735,4e52f1446284ca6a2f6b61e3,47.70132827758789,-116.80858612060547
Pokeworks,Sushi Restaurant,4bf58dd8d48988d1d2941735,5ede9a09fde372165fefca6d,47.7316765,-116.8109266
Fu-Ki Japanese Steak House & Sushi Bar,Sushi Restaurant,4bf58dd8d48988d1d2941735,4f329ceb19836c91c7e8d032,47.71066530055671,-116.92613811823814
Sushi I,Sushi Restaurant,4bf58dd8d48988d1d2941735,57b26759498eca42d02bb98a,47.694833,-116.806137
Syringa Japanese Cafe & Sushi Bar,Sushi Restaurant,4bf58dd8d48988d1d2941735,4b873ec2f964a52057b831e3,47.68833830729476,-116.7809402585936
Umami Ramen,Ramen Restaurant,55a59bace4b013909087cb24,59164f8caa6c956919c3cf5b,47.6964,-116.81004
Young Shin's Famous Korean,Korean Restaurant,4bf58dd8d48988d113941735,5eb60d28769ac80008338d2a,47.743732,-116.79983
HuHot Mongolian Grill,Mongolian Restaurant,4eb1d5724b900d56c88a45fe,5d0d321d605f2600233aa76a,47.6937188,-116.7908195
Mongolian BBQ,Chinese Restaurant,4bf58dd8d48988d145941735,4bf8a5a4b182c9b629eb775a,47.70702339425002,-116.78665943119645
Moon's Mongolian Grill,Mongolian Restaurant,4eb1d5724b900d56c88a45fe,4b5261fdf964a520967a27e3,47.71104116973005,-116.91697357370558
Canton Asian Restaurant,Asian Restaurant,4bf58dd8d48988d142941735,4c465a7acd5ca5932ba80087,47.674065,-116.78149199999999
Thai Bamboo,Thai Restaurant,4bf58dd8d48988d149941735,4b85ea94f964a520507931e3,47.69551032392308,-116.78072460060571
Ding How,Sushi Restaurant,4bf58dd8d48988d1d2941735,4ba82ee1f964a520f3cf39e3,47.6703251019175,-117.10425869173778
Thai Express,Thai Restaurant,4bf58dd8d48988d149941735,5c44c5d0a5a315002c7d2102,47.703835,-116.807686
PhoThành & Café,Vietnamese Restaurant,4bf58dd8d48988d14a941735,4b68d1d0f964a520948e2be3,47.696550462309155,-116.78055709421272
Pho Liberty,Vietnamese Restaurant,4bf58dd8d48988d14a941735,5bd0c3b264c8e1002c2a87a5,47.677818,-117.089276
Lemongrass,Vietnamese Restaurant,4bf58dd8d48988d14a941735,4e0fb187b0fb59de67e30095,47.674485,-116.782055
"Pat Clevenger, CLU, ChFC - Northwestern Mutual",Australian Restaurant,4bf58dd8d48988d169941735,4cec01f7f1c6236a060a73f0,47.69588851928711,-116.8036117553711
Kon Tiki,Strip Club,4bf58dd8d48988d1d6941735,4b68b4e4f964a5203e882be3,47.705482389153,-117.03646326125981
Relic Smokehouse and Pub,BBQ Joint,4bf58dd8d48988d1df931735,59540c9641868651ce468064,47.673422,-116.759226
Dickey's Barbecue Pit,BBQ Joint,4bf58dd8d48988d1df931735,5872bf1ece66aa03895472cd,47.730218,-116.791408
Famous Willies BBQ,BBQ Joint,4bf58dd8d48988d1df931735,4e4e6d10bd4101d0d7a9e3c2,47.71436095297553,-116.94678151022684
Smokin' Mike's,BBQ Joint,4bf58dd8d48988d1df931735,59cea03cf427de3673a54663,47.70374,-117.03727
David James Barbecue,BBQ Joint,4bf58dd8d48988d1df931735,5d3be8ded55da400082039b8,47.73014482694434,-116.78755402565001
Big Island BBQ,BBQ Joint,4bf58dd8d48988d1df931735,5c534f4bacc5f500380f7e14,47.669151306152344,-117.10745239257812
Beau Diddleys Gourmet Barbecue,BBQ Joint,4bf58dd8d48988d1df931735,4d6db3cc29586dcb1e98a7f1,47.810368,-116.892727
Tim's Special Cut Meats,Butcher,4bf58dd8d48988d11d951735,4bfd5912e9309521da0b62ab,47.73915823112462,-116.7871123021676
Heritage Meats & More,BBQ Joint,4bf58dd8d48988d1df931735,56b1723d498e3415f7bd74e8,47.752079010009766,-116.78697967529297
Post Falls Coffee Co.,Bakery,4bf58dd8d48988d16a941735,510b1669e4b04c8c955560c3,47.71410568835265,-116.94833181397428
Great Harvest Bread Company,Bakery,4bf58dd8d48988d16a941735,4cab67f6f47ea143927f8b21,47.696279582178754,-116.78596615791321
sweet tooth bakery & espesso,Bakery,4bf58dd8d48988d16a941735,519fc62e498e5eaff1897bd3,47.72376,-117.070775
sweet moments bakery,Bakery,4bf58dd8d48988d16a941735,51a51655498e80da5c255bb9,47.73110801452373,-116.78873343392925
Aebleskivers,Bakery,4bf58dd8d48988d16a941735,52fd633d498e5e4163eecb1a,47.73202896118164,-116.78992462158203
Selkirk Abbey Brewing Company,Brewery,50327c8591d4c4b30a586d5d,4df4f734c65bf55ee530de4e,47.704799751420346,-116.86604541852454
The Bluebird,Bistro,52e81612bcbc57f1066b79f1,5765e9a5498e86f4abbb48b4,47.680886,-116.78056
Kaiju Sushi & Spirits,Bistro,52e81612bcbc57f1066b79f1,55d7ed32498e5f32d8927252,47.673401205418365,-116.77997790222027
Pentagon Bistro & Martini Bar,Bistro,52e81612bcbc57f1066b79f1,5e1fb8cea70152000728a243,47.67104,-117.10179
One Shot Charlie's Bar and Grill,Breakfast Spot,4bf58dd8d48988d143941735,4bae31d4f964a5208f903be3,47.45351210781758,-116.78657903653465
Paragon Brewing,American Restaurant,4bf58dd8d48988d14e941735,536ec449498ee4ea101c88ca,47.72430553743273,-116.78708448688413
The Breakfast Nook,Breakfast Spot,4bf58dd8d48988d143941735,4c4462722d3ec9b6c6c12eae,47.69198084792468,-116.78145808254737
Michael D's Eatery,Breakfast Spot,4bf58dd8d48988d143941735,4c39fa7a3849c9287b1ec2b1,47.67242693083731,-116.7536884107513
Franklins Hoagies,American Restaurant,4bf58dd8d48988d14e941735,4c509041d2a7c9b61b38c30f,47.67684698565192,-116.78131294400066
Rustlers Roost,Breakfast Spot,4bf58dd8d48988d143941735,4b92a287f964a520210c34e3,47.76041669028022,-116.79184536910624
The Breakfast Nook,Breakfast Spot,4bf58dd8d48988d143941735,4bef1885b0b376b0efd0dab3,47.818434,-116.88548600000001
The Landing,New American Restaurant,4bf58dd8d48988d157941735,4de170a145dd180ae52ec22a,47.4533374,-116.78655239
Top of China Buffet,Chinese Restaurant,4bf58dd8d48988d145941735,4c33be013896e21e958dea90,47.701017424640746,-116.7991064852345
Wendy’s,Burger Joint,4bf58dd8d48988d16c941735,4bfec9774e5d0f47b6297d1f,47.7004447,-116.7833417
SONIC Drive In,Burger Joint,4bf58dd8d48988d16c941735,4bdb361e63c5c9b6fadc2668,47.7150626,-116.8937544
Shooter's,American Restaurant,4bf58dd8d48988d14e941735,4c059b2b13b99c740f44aff3,47.50896018003294,-116.90017235566631
Wendy’s,Burger Joint,4bf58dd8d48988d16c941735,4bfec52ac30a2d7f33fa0f1d,47.733404235050756,-116.79056816183675
Zips Drive-in,Burger Joint,4bf58dd8d48988d16c941735,5780000738fa66f2668a4052,47.7109375,-116.92012023925781
O'Malleys Sports Bar & Grill,Burger Joint,4bf58dd8d48988d16c941735,4bef4f58f2712d7f00a2fbd8,47.817799,-116.886205
Roger’s Ice Cream & Burgers,Burger Joint,4bf58dd8d48988d16c941735,5dfbe6a05ceafa0008ebe11f,47.752162,-116.792883
Zip's Drive In,Burger Joint,4bf58dd8d48988d16c941735,4d52f3153062a1cd69e276a3,47.712933976207076,-116.7869455167265
Paul Bunyan,Burger Joint,4bf58dd8d48988d16c941735,4d6ad5e02eaba35dc9962f0d,47.75009858547583,-116.78700775203345
Jack in the Box,Burger Joint,4bf58dd8d48988d16c941735,539d0764498e718f89a83746,47.70306341705698,-116.80752575397491
Nosworthy's Hall of Fame,American Restaurant,4bf58dd8d48988d14e941735,4b9c6761f964a5202b6636e3,47.717035064159404,-116.78709572675683
Seasons,Restaurant,4bf58dd8d48988d1c4941735,4e0d40e945ddc2c6d16c8857,47.67450894904792,-116.78390426117437
Paul Bunyan,Burger Joint,4bf58dd8d48988d16c941735,4e02ba71227144bc81ccd788,47.678075134158114,-116.7892982765891
Jack In The Box,Burger Joint,4bf58dd8d48988d16c941735,56688183498e06aabc43c442,47.716062,-116.893614
Zip's,Burger Joint,4bf58dd8d48988d16c941735,4d62cc6e1ee8721ea307c521,47.803467468582134,-116.89322298722199
Zip's Drive In,Burger Joint,4bf58dd8d48988d16c941735,4b8ebb16f964a520a53333e3,47.70824412703181,-117.00087262397805
GW Hunters,American Restaurant,4bf58dd8d48988d14e941735,4bcf2ebf0adfb713bd34af55,47.71374894140295,-116.94858187863164
Roger's Bugers,Burger Joint,4bf58dd8d48988d16c941735,4f970779e4b03246905b3c12,47.70761436620217,-116.7897800504787
Paul Bunyan,American Restaurant,4bf58dd8d48988d14e941735,4bd89a5f11dcc928b603f733,47.714343373538235,-116.93673510331747
Zips,Burger Joint,4bf58dd8d48988d16c941735,4d729db98e12b1f764393e05,47.75653076171875,-116.78608703613281
Schmidty's Burger's,Burger Joint,4bf58dd8d48988d16c941735,533f5834498e4164455e3b38,47.674524,-116.7809
Pennys Pit,Burger Joint,4bf58dd8d48988d16c941735,57dddb8dcd106b01821616a2,47.81477,-116.89292
Paul Bunyan,Burger Joint,4bf58dd8d48988d16c941735,53cac403498e6db96d6b4f2f,47.818363189697266,-116.88709259033203
Carl's Jr.,Burger Joint,4bf58dd8d48988d16c941735,4e6ae977d164c37bf4cd57f8,47.71117991079851,-117.00336020734022
The Fedora Pub & Grille,Pub,4bf58dd8d48988d11b941735,4c72dc714bc4236af469cc7a,47.715238401626465,-116.8093891655807
Surf Shack (All american Hamburgers),Burger Joint,4bf58dd8d48988d16c941735,5339bf2111d2d39d084b0860,47.70066833496094,-116.78160095214844
Dave Smith Service Center,Cafeteria,4bf58dd8d48988d128941735,4bfd7d074cf820a1f48becf4,47.69400707024992,-116.78019805195773
Envision Cafe,Café,4bf58dd8d48988d16d941735,527abcc311d27d5d23864243,47.75578308105469,-116.78761291503906
big blue coffee company,Café,4bf58dd8d48988d16d941735,556f4867498ef4e261f01380,47.69322433349075,-116.7925494560025
Kootenai Health Cafe,Café,4bf58dd8d48988d16d941735,50eb6c78e4b06b80d2cba122,47.69526672363281,-116.79426574707031
Broken Egg Cafe,Café,4bf58dd8d48988d16d941735,50a3e87ae4b04e2d5c7c1ec3,47.712229,-116.786029
Renee's On Ramsey,Café,4bf58dd8d48988d16d941735,5788526acd1045909af29c61,47.7148475,-116.8084897
Fine Brewed,Café,4bf58dd8d48988d16d941735,559988b8498eb21ce3b91a77,47.67361388093311,-116.77931438249502
Lobby Cafe,Café,4bf58dd8d48988d16d941735,4c3f41aed691c9b6e873890a,47.67192776001639,-116.78434019667505
Strada Caffé,Café,4bf58dd8d48988d16d941735,577e9f4a498e67b9a9d81a88,47.693311,-116.782064
PIGGIE'S Deli & Market,Deli / Bodega,4bf58dd8d48988d146941735,4f9e1ceee4b04b5a69b727db,47.673547,-116.757629
Big Bear Deli,Deli / Bodega,4bf58dd8d48988d146941735,4bd1dc1741b9ef3bf4c3fce5,47.714919575793104,-116.93860818310895
Walmart Bakery,Deli / Bodega,4bf58dd8d48988d146941735,59931493234724356bf96a32,47.71589739,-116.9069992
Tree Of Life Organc,Deli / Bodega,4bf58dd8d48988d146941735,51f2d536498ec6e1d962653b,47.711843,-116.923342
grabbagreen,Deli / Bodega,4bf58dd8d48988d146941735,585445625a586918eec767ba,47.708014,-116.792094
Herbie's,Deli / Bodega,4bf58dd8d48988d146941735,4e272c997d8b5ea7247b1bf3,47.717305,-116.78717036255982
White Pines Cafe,Deli / Bodega,4bf58dd8d48988d146941735,4dcdd62dae603b786d211eb7,47.69952392578125,-117.0390853881836
Walmart Bakery,Deli / Bodega,4bf58dd8d48988d146941735,599340510868a24d760b0b44,47.70372009277344,-117.03059387207031
Walmart Bakery,Deli / Bodega,4bf58dd8d48988d146941735,599314abda5ede480feee7d4,47.75176,-116.7935592
Pilgrim's Market,Gourmet Shop,4bf58dd8d48988d1f5941735,4b6f4e5ef964a52061ea2ce3,47.68771514458024,-116.78042127231238
Get & Go,Gourmet Shop,4bf58dd8d48988d1f5941735,4bb8227b53649c74d6cc46fb,47.7075197740409,-116.78385111676153
Shugar Shack,Dessert Shop,4bf58dd8d48988d1d0941735,4c2ae1dbd1a10f47602af764,47.695040999999996,-116.80581000000001
Pastry and More,Bakery,4bf58dd8d48988d16a941735,4dbb320c4b222080d371e303,47.70318135,-116.792359
Sweet B Cupcakes,Bakery,4bf58dd8d48988d16a941735,4de67cfe1f6e9d90c7f45b9e,47.6738311,-116.77960683333333
sweet peaks ice cream,Ice Cream Shop,4bf58dd8d48988d1c9941735,570d5878498ed34dda47d79e,47.673715,-116.78095900000001
Just Chillin' Frozen Yogurt,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,4e4f1c9a8877402b06bff2a8,47.670010172555486,-117.10412569629057
JAMMS Frozen Yogurt,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,4dcec2f7d22deadedd5aa130,47.707598309610816,-116.78566236774668
Dairy Queen,Ice Cream Shop,4bf58dd8d48988d1c9941735,4bb6b5122f70c9b67ae78530,47.71053257033674,-116.90038182221991
Dairy Queen,Ice Cream Shop,4bf58dd8d48988d1c9941735,4be4e8082468c9282486ff42,47.814409965780705,-116.88383728265762
Baskin-Robbins,Ice Cream Shop,4bf58dd8d48988d1c9941735,4b92df56f964a520512334e3,47.70176577367511,-116.78473784572778
Shenanigans Toy Emporium and Sweet Shop,Toy / Game Store,4bf58dd8d48988d1f3941735,4fd29a8ce4b0b916e9dcf204,47.673235,-116.782234
Cold Stone Creamery,Ice Cream Shop,4bf58dd8d48988d1c9941735,4b6a34a8f964a52002cd2be3,47.694845,-116.806228
The Creamery,Dessert Shop,4bf58dd8d48988d1d0941735,4e1a50ecfa76194645a38d08,47.45326571965067,-116.7862406947133
Top This,Ice Cream Shop,4bf58dd8d48988d1c9941735,4d4c89d815da2d436d0ade6c,47.69396644386101,-116.78694792111457
Abi's Ice Cream,Ice Cream Shop,4bf58dd8d48988d1c9941735,56d76953cd10f606cb1ddb63,47.674088,-116.78096200000002
Grooveberries,Ice Cream Shop,4bf58dd8d48988d1c9941735,5085e5f9e4b0caa91561e8de,47.695130214072066,-116.80657003542694
Freezia,Ice Cream Shop,4bf58dd8d48988d1c9941735,5782ed1e498e729e5ff7c299,47.714829,-116.946912
Top This,Ice Cream Shop,4bf58dd8d48988d1c9941735,4e4f14afd4c0b6da5d79bebe,47.71445734709465,-116.9067657287456
Sweet Peaks,Ice Cream Shop,4bf58dd8d48988d1c9941735,5959b57a1de76542cae2bd3f,47.673813,-116.780975
Woops!,Bakery,4bf58dd8d48988d16a941735,5d17d72bb55cb80023ed89a6,47.674065,-116.78149199999999
Big Daddy's Sweets,Pastry Shop,5744ccdfe4b0c0459246b4e2,5e98c2a40af88a00081dd0e8,47.71508188696861,-116.79208159446716
Chompers Cafe,Breakfast Spot,4bf58dd8d48988d143941735,55200ac0498ee3db6d194f06,47.7450039622857,-116.81842372736632
Denny's,Diner,4bf58dd8d48988d147941735,4c0165ccb45676b0d31de180,47.69831226718893,-116.78034946735352
J.B.'s Restaurant,Diner,4bf58dd8d48988d147941735,4bb8ee6b7421a5934749c240,47.70052719116211,-116.79669952392578
Grandma Zula's Kitchen,Diner,4bf58dd8d48988d147941735,4f108ccbe4b09e58a0054f54,47.70900900458246,-116.94715674178335
Gross Donuts,Donut Shop,4bf58dd8d48988d148941735,583b53ee9900e6088c5867dd,47.705243,-116.792308
Davis Donuts,Donut Shop,4bf58dd8d48988d148941735,4e296d51483baa86515f663a,47.70065711,-116.78060818
Gross Donuts,Donut Shop,4bf58dd8d48988d148941735,4cbf996d9ca85481f8b3b716,47.71125030517578,-116.92321014404297
The Donut House,Donut Shop,4bf58dd8d48988d148941735,4c5f99c6de6920a1a84e9464,47.75139975365022,-116.78710251809234
Rock Creek Station,Falafel Restaurant,4bf58dd8d48988d10b941735,4ecb19f3722efb00f7f3af12,47.710724,-116.82378
Maverik,Convenience Store,4d954b0ea243a5684a65b473,5d2f7bf9ec65e000074063bd,47.702447,-117.028733
Collective Kitchen Public House,American Restaurant,4bf58dd8d48988d14e941735,5706bd13498ee10e7d64ee76,47.673585,-116.779657
Roger's Ice Cream & Burgers,Burger Joint,4bf58dd8d48988d16c941735,4c1ab26eb9f876b0881a7946,47.673210606041884,-116.76792438441333
Fort Ground Grill,American Restaurant,4bf58dd8d48988d14e941735,4c518b0e5ee81b8dbc746a00,47.679127484098906,-116.793937971328
O'Shay's,Restaurant,4bf58dd8d48988d1c4941735,4c65edb4f7a80f47edde9c7a,47.671069,-116.75300717353821
Drummin Up BBQ,Food Truck,4bf58dd8d48988d1cb941735,58cafd379958425363221fb8,47.705975,-116.78669
Left Coast Fusion,Food Truck,4bf58dd8d48988d1cb941735,5b2ea0d659c423002cf0f797,47.7007447753505,-116.78051016128897
The Triple B Backhills Bbq On Best,Food Truck,4bf58dd8d48988d1cb941735,5b12fb3375eee4002c3cf942,47.70051809827307,-116.77871502873435
Coeur d’Alene Inn,Food Truck,4bf58dd8d48988d1cb941735,524d54787e4864ae5e37f73e,47.70069332707054,-116.79192066192627
Meltz extreme Food Truck,Food Truck,4bf58dd8d48988d1cb941735,5202f570498e0197f4684d1f,47.67480623701677,-116.78782415406562
Red Robin Gourmet Burgers and Brews,Restaurant,4bf58dd8d48988d1c4941735,4bb26152eb3e952156f2c90a,47.69425993,-116.8080705
Le Peep,French Restaurant,4bf58dd8d48988d10c941735,503cdb25e4b0c00e8fbd4487,47.692235506720095,-116.80982018304731
Bakery by the Lake,Bakery,4bf58dd8d48988d16a941735,4ba2a57ef964a5204d0c38e3,47.67276074820945,-116.77725534960648
The Garnet Café,Breakfast Spot,4bf58dd8d48988d143941735,4bf825fc5efe2d7f333b6a34,47.68831155424711,-116.78131830034226
Denny's,Breakfast Spot,4bf58dd8d48988d143941735,4ba41bfbf964a520748238e3,47.71172334748942,-116.92068815231323
Hudson's Hamburgers,Burger Joint,4bf58dd8d48988d16c941735,4b4ea270f964a5200ff326e3,47.673583079961894,-116.78386247279323
Bistro on Spruce,Café,4bf58dd8d48988d16d941735,4b7622e5f964a520273f2ee3,47.6916101923513,-116.78030171743043
Popeyes Louisiana Kitchen,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,59e92402a423622886c6f8f5,47.71364,-116.894054
Jack in the Box,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,4c0fcc9275f99c74a1bcecc4,47.69466021275966,-116.78676813840866
Cracker Barrel Old Country Store,American Restaurant,4bf58dd8d48988d14e941735,577d30fc498eeb45a865bb01,47.70135761296897,-116.80653333663939
KFC,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,4c03158c0d0e0f47e728029a,47.70884774759496,-116.89588657562439
KFC,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,4c82d57ed34ca143da5d3080,47.75568320659813,-116.79040745828382
Asian Twist,Asian Restaurant,4bf58dd8d48988d142941735,52a502f511d249c217d63973,47.693499,-116.790998
Sweet Lou's Restaurant & Tap House,Gastropub,4bf58dd8d48988d155941735,583f9da2c960277a02602669,47.672998,-116.777897
Filling Station - Post Falls,Gastropub,4bf58dd8d48988d155941735,5cb9312160255e002c7597c6,47.709109,-116.947551
